#,Player,GP,GS,Minutes,FG,3PT,FT,Scoring,Rebounds,PF,AST,TO,STL,BLK,Bio Link,TOT,AVG,FGM,FGA,FG%,3PT_21,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG_28,OFF,DEF,TOT_31,AVG_32
05,"Leggett, Ishmael
05 Leggett, Ishmael",10,10,342,34.2,64,132,.485,13,44,.295,29,39,.744,170,17.0,12,50,62,6.2,21,26,18,18,3,View Bio,,,,,,
15,"Lowe, Jaland
15 Lowe, Jaland",10,10,352,35.2,55,143,.385,15,53,.283,46,52,.885,171,17.1,10,45,55,5.5,20,49,26,20,4,View Bio,,,,,,
01,"Dunn, Damian
01 Dunn, Damian",7,7,153,21.9,25,51,.490,10,19,.526,18,24,.750,78,11.1,5,10,15,2.1,15,13,4,5,0,View Bio,,,,,,
02,"Corhen, Cameron
02 Corhen, Cameron",10,10,281,28.1,46,68,.676,1,4,.250,12,19,.632,105,10.5,21,31,52,5.2,31,11,17,8,8,View Bio,,,,,,
25,"Diaz Graham, Guillermo
25 Diaz Graham, Guillermo",10,10,249,24.9,26,65,.400,9,42,.214,12,14,.857,73,7.3,17,47,64,6.4,28,13,10,2,9,View Bio,,,,,,
55,"Austin, Zack
55 Austin, Zack",10,1,263,26.3,23,53,.434,15,37,.405,18,22,.818,79,7.9,7,32,39,3.9,17,2,5,8,15,View Bio,,,,,,
03,"Cummings, Brandin
03 Cummings, Brandin",10,0,149,14.9,18,42,.429,8,26,.308,8,10,.800,52,5.2,5,12,17,1.7,9,8,3,5,1,View Bio,,,,,,
52,"Delalić, Amsal
52 Delalić, Amsal",7,2,113,16.1,10,22,.455,5,13,.385,1,4,.250,26,3.7,4,9,13,1.9,6,7,9,1,1,View Bio,,,,,,
04,"Amadou Kante, Papa
04 Amadou Kante, Papa",7,0,55,7.9,9,13,.692,0,0,.000,6,12,.500,24,3.4,7,3,10,1.4,10,3,4,3,4,View Bio,,,,,,
31,"Diaz Graham, Jorge
31 Diaz Graham, Jorge",10,0,54,5.4,7,15,.467,5,12,.417,3,3,1.000,22,2.2,3,3,6,0.6,4,2,1,3,0,View Bio,,,,,,
11,"Barnes, Jr., Marlon
11 Barnes, Jr., Marlon",4,0,5,1.3,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,0.3,2,1,0,0,1,View Bio,,,,,,
00,"Ndiaye, Amdy
00 Ndiaye, Amdy",4,0,9,2.3,1,2,.500,0,1,.000,0,0,.000,2,0.5,1,3,4,1.0,2,0,1,1,0,View Bio,,,,,,
TM,"Team
                                    TM Team",10,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,14,18,32,3.2,0,0,2,0,0,,,,,,,
