#,Player,GP,GS,Minutes,FG,3PT,FT,Scoring,Rebounds,PF,AST,TO,STL,BLK,Bio Link,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG
05,"Leggett, Ishmael
05 Leggett, Ishmael",9,9,303,33.7,59,119,.496,10,35,.286,25,35,.714,153,17.0,11,46,57,6.3,19,22,15,18,3,View Bio,,,,,,
15,"Lowe, Jaland
15 Lowe, Jaland",9,9,312,34.7,49,127,.386,14,48,.292,40,46,.870,152,16.9,10,40,50,5.6,19,47,23,16,4,View Bio,,,,,,
02,"Corhen, Cameron
02 Corhen, Cameron",9,9,246,27.3,43,64,.672,1,4,.250,12,19,.632,99,11.0,18,28,46,5.1,29,9,15,7,5,View Bio,,,,,,
01,"Dunn, Damian
01 Dunn, Damian",7,7,153,21.9,25,51,.490,10,19,.526,18,24,.750,78,11.1,5,10,15,2.1,15,13,4,5,0,View Bio,,,,,,
25,"Diaz Graham, Guillermo
25 Diaz Graham, Guillermo",9,9,218,24.2,23,56,.411,8,35,.229,10,12,.833,64,7.1,14,43,57,6.3,25,11,6,2,7,View Bio,,,,,,
55,"Austin, Zack
55 Austin, Zack",9,0,230,25.6,19,46,.413,14,34,.412,18,22,.818,70,7.8,6,28,34,3.8,16,2,5,7,15,View Bio,,,,,,
03,"Cummings, Brandin
03 Cummings, Brandin",9,0,139,15.4,17,38,.447,8,24,.333,8,10,.800,50,5.6,4,11,15,1.7,8,8,3,5,1,View Bio,,,,,,
52,"Delalić, Amsal
52 Delalić, Amsal",6,2,107,17.8,9,21,.429,5,13,.385,1,4,.250,24,4.0,4,9,13,2.2,6,7,9,1,1,View Bio,,,,,,
04,"Amadou Kante, Papa
04 Amadou Kante, Papa",6,0,53,8.8,9,13,.692,0,0,.000,6,12,.500,24,4.0,7,3,10,1.7,9,3,4,3,4,View Bio,,,,,,
31,"Diaz Graham, Jorge
31 Diaz Graham, Jorge",9,0,50,5.6,7,13,.538,5,10,.500,3,3,1.000,22,2.4,3,3,6,0.7,4,2,1,2,0,View Bio,,,,,,
11,"Barnes, Jr., Marlon
11 Barnes, Jr., Marlon",4,0,5,1.3,0,1,.000,0,1,.000,0,0,.000,0,0.0,0,1,1,0.3,2,1,0,0,1,View Bio,,,,,,
00,"Ndiaye, Amdy
00 Ndiaye, Amdy",4,0,9,2.3,1,2,.500,0,1,.000,0,0,.000,2,0.5,1,3,4,1.0,2,0,1,1,0,View Bio,,,,,,
TM,"Team
                                    TM Team",9,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,14,17,31,3.4,0,0,2,0,0,,,,,,,
